,Name,Sign,Type,Definition,Other_words,Indexes,No_words
0,domykanie,"(1, 1)",rzeczownik,rzecz. odczas. od domykać ,[],['rzecz. odczas.'],3
1,domysł,"(1, 1)",rzeczownik,",  domniemanie ",['domniemanie'],,2
2,dom akademicki,"(1, 1)",fraza rzeczownikowa,"budynek ,  w którym mieszkają studenci ;  zob. też dom akademicki w Wikipedii ","['budynek', 'w', 'który', 'mieszkać', 'student']",,8
3,dom bez klamek,"(1, 1)",fraza rzeczownikowa,pot. eufem. szpital psychiatryczny ,['szpital psychiatryczny'],"['pot.', 'eufem.']",3
4,dom dziecka,"(1, 1)",fraza rzeczownikowa,"opiekuńczo - wychowawcza typu socjalizacyjnego dla dzieci i młodzieży ,  których potrzeby stale lub okresowo nie mogą być zaspokajane w domu rodzinnym ;  zob. też dom dziecka w Wikipedii ","['opiekuńczy', 'wychowawczy', 'typ', 'socjalizacyjny', 'dla', 'dziecko', 'i', 'młodzież', 'który', 'potrzeba', 'stale', 'lub', 'okresowo', 'nie', 'móc', 'być', 'zaspokajać', 'w', 'dom', 'rodzinny']",,24
5,dom handlowy,"(1, 1)",fraza rzeczownikowa,"hand. obiekt ,  w którym prowadzi się sprzedaż detaliczną produktów jednego producenta lub należących do jednej branży ;  zob. też dom handlowy w Wikipedii ","['obiekt', 'w', 'który', 'prowadzić', 'się', 'sprzedaż', 'detaliczny', 'produkt', 'jeden', 'producent', 'lub', 'należeć', 'do', 'jeden', 'branża']",['hand.'],19
6,dom kultury,"(1, 1)",fraza rzeczownikowa,kult. instytucja prowadząca działalność społeczno - kulturalną ;  zob. też dom kultury w Wikipedii ,"['instytucja', 'prowadzić', 'działalność', 'społeczny', 'kulturalny']",['kult.'],9
7,dom maklerski,"(1, 1)",fraza rzeczownikowa,ekon. bank. instytucja finansowa prowadząca działalność maklerską ;  zob. też dom maklerski w Wikipedii ,"['instytucja', 'finansowy', 'prowadzić', 'działalność', 'maklerski']","['ekon.', 'bank.']",9
8,dom maklerski,"(1, 2)",fraza rzeczownikowa, domu maklerskiego (1.1) ,[],,1
9,dom noclegowy,"(1, 1)",fraza rzeczownikowa,",  w której udziela się noclegu ","['w', 'który', 'udzielać', 'się', 'nocleg']",,6
10,dom pogrzebowy,"(1, 1)",fraza rzeczownikowa,zajmująca się organizowaniem pogrzebów ,"['zajmować się', 'organizowanie', 'pogrzeb']",,3
11,dom pomocy społecznej,"(1, 1)",fraza rzeczownikowa,"świadcząca usługi bytowe ,  opiekuńcze ,  wspomagające i edukacyjne osobom wymagającym całodobowej opieki ;  zob. też dom pomocy społecznej w Wikipedii ","['świadczyć', 'usługa', 'bytowy', 'opiekuńczy', 'wspomagać', 'i', 'edukacyjny', 'osoba', 'wymagać', 'całodobowy', 'opieka']",,15
12,dom pomocy społecznej,"(1, 2)",fraza rzeczownikowa, domu pomocy społecznej (1.1) ,[],,1
13,dom poprawczy,"(1, 1)",fraza rzeczownikowa,resocjalizacyjna dla nieletnich ,"['resocjalizacyjny', 'dla', 'nieletni']",,3
14,dom poprawczy,"(1, 2)",fraza rzeczownikowa, domu poprawczego (1.1) ,[],,1
15,dom publiczny,"(1, 1)",fraza rzeczownikowa,",  w którym jest uprawiana prostytucja ;  zob. też dom publiczny w Wikipedii ","['w', 'który', 'być', 'uprawiać', 'prostytucja']",,8
16,dom spokojnej starości,"(1, 1)",fraza rzeczownikowa,",  w której mieszkają osoby w starszym wieku i znajdują się tam pod specjalistyczną opieką ","['w', 'który', 'mieszkać', 'osoba', 'w', 'starszy', 'wiek', 'i', 'znajdować się', 'tam', 'pod', 'specjalistyczny', 'opieka']",,14
17,dom spokojnej starości,"(1, 2)",fraza rzeczownikowa,slang. szkoła ,['szkoła'],['slang.'],2
18,dom spokojnej starości,"(1, 3)",fraza rzeczownikowa,więzienie ,['więzienie'],,1
19,dom starców,"(1, 1)",fraza rzeczownikowa,",  w którym mieszkają osoby stare i pozbawione opieki rodziny ","['w', 'który', 'mieszkać', 'osoba', 'stary', 'i', 'pozbawić', 'opieka', 'rodzina']",,10
20,dom studencki,"(1, 1)",fraza rzeczownikowa,eduk. obiekt mieszkalny dla studentów ;  zob. też dom studencki w Wikipedii ,"['obiekt', 'mieszkalny', 'dla', 'student']",['eduk.'],7
21,dom towarowy,"(1, 1)",fraza rzeczownikowa,hand. wielobranżowy i wielkopowierzchniowy sklep ;  zob. też dom towarowy w Wikipedii ,"['wielobranżowy', 'i', 'wielkopowierzchniowy', 'sklep']",['hand.'],7
22,dom wariatów,"(1, 1)",fraza rzeczownikowa,pot. zakład dla osób z zaburzeniami psychicznymi ,"['zakład', 'dla', 'osoba', 'z', 'zaburzenie', 'psychiczny']",['pot.'],7
23,dom wariatów,"(1, 2)",fraza rzeczownikowa,brak ładu ,"['brak', 'ład']",,2
24,dom wczasowy,"(1, 1)",fraza rzeczownikowa,",  w którym organizowane są wczasy ","['w', 'który', 'organizować', 'być', 'wczasy']",,6
25,dom wypoczynkowy,"(1, 1)",fraza rzeczownikowa,",  w którym organizowane są wczasy wypoczynkowe ","['w', 'który', 'organizować', 'być', 'wczasy', 'wypoczynkowy']",,7
26,dom zdrojowy,"(1, 1)",fraza rzeczownikowa,lecznictwa wodami na terenie uzdrowiska ,"['lecznictwo', 'woda', 'na', 'teren', 'uzdrowisko']",,5
27,dom zdrojowy,"(1, 2)",fraza rzeczownikowa, domu zdrojowego (1.1) ,[],,1
28,donżon,"(1, 1)",rzeczownik,"wieża lub baszta będąca częścią zamku ,  przeznaczona do obrony i zamieszkania ;  zob. też donżon w Wikipedii ","['wieża', 'lub', 'baszta', 'być', 'część', 'zamek', 'przeznaczyć', 'do', 'obrona', 'i', 'zamieszkanie']",,14
29,donżuański,"(1, 1)",przymiotnik relacyjny,"do donżuana ,  związany z donżuanem ","['do', 'donżuan', 'związany', 'z', 'donżuan']",,6
30,donżuaństwo,"(1, 1)",rzeczownik,"przest. bałamucenie kobiet ,  postępowanie donżuana ","['bałamucenie', 'kobieta', 'postępowanie', 'donżuan']",['przest.'],6
31,donżuan,"(1, 1)",rzeczownik,"pejor. bałamut ,  uwodziciel ","['bałamut', 'uwodziciel']",['pejor.'],4
32,donżuaneria,"(1, 1)",rzeczownik,"kobiet ,  postępowanie donżuana ","['kobieta', 'postępowanie', 'donżuan']",,4
33,donżuanizm,"(1, 1)",rzeczownik,"rzad. bałamucenie kobiet ,  postępowanie donżuana ","['bałamucenie', 'kobieta', 'postępowanie', 'donżuan']",['rzad.'],6
34,donżuanowski,"(1, 1)",przymiotnik relacyjny,"do donżuana ,  związany z donżuanem ","['do', 'donżuan', 'związany', 'z', 'donżuan']",,6
35,Don,"(1, 1)",rzeczownik,hydrol. rzeka w południowo - zachodniej Rosji uchodząca do Morza Azowskiego ;  zob. też Don w Wikipedii ,"['rzeka', 'w', 'południowy', 'zachodni', 'Rosja', 'uchodzić', 'do', 'Morze Azowskie']",['hydrol.'],12
36,Don,"(1, 2)",rzeczownik,hydrol. rzeka w Szkocji uchodząca do Morza Północnego ;  zob. też Don (Aberdeenshire) w Wikipedii ,"['rzeka', 'w', 'Szkocja', 'uchodzić', 'do', 'Morze Północne']",['hydrol.'],9
37,donacja,"(1, 1)",rzeczownik,,[],,0
38,donacja,"(1, 2)",rzeczownik,praw. akt darowizny ,"['akt', 'darowizna']",['praw.'],3
39,Donald,"(1, 1)",rzeczownik,;  zob. też Donald w Wikipedii ,[],,2
40,donaryt,"(1, 1)",rzeczownik,"wojsk. chem. krusząca ,  wybuchowa mieszanina saletry amonowej z trotylem i innymi dodatkami ","['kruszyć', 'wybuchowy', 'mieszanina', 'saletra', 'amonowy', 'z', 'trotyl', 'i', 'inny', 'dodatek']","['wojsk.', 'chem.']",13
41,Donat,"(1, 1)",rzeczownik,;  zob. też Donat (imię) w Wikipedii ,[],,2
42,Donat,"(2, 1)",rzeczownik,lm od: Donata ,['Donata'],,3
43,donator,"(1, 1)",rzeczownik,",  która ofiarowuje coś na cele społeczne ","['który', 'ofiarowywać', 'coś', 'na', 'cel', 'społeczny']",,7
44,donatorka,"(1, 1)",rzeczownik,",  która ofiarowuje coś na cele społeczne ","['który', 'ofiarować', 'coś', 'na', 'cel', 'społeczny']",,7
45,donatysta,"(1, 1)",rzeczownik,hist. zwolennik donatyzmu ,"['zwolennik', 'donatyzm']",['hist.'],3
46,donatystyczny,"(1, 1)",przymiotnik,"hist. rel. związany z donatyzmem ,  donatystami ","['związany', 'z', 'donatyzm', 'donatysta']","['hist.', 'rel.']",7
47,donatyzm,"(1, 1)",rzeczownik,"hist. teol. rygorystyczna herezja wczesnochrześcijańska rozpowszechniona w północnoafrykańskich prowincjach Imperium Rzymskiego ,  odmawiającą apostatom możliwości powrotu na łono wspólnoty Kościoła ;  zob. też donatyzm w Wikipedii ","['rygorystyczny', 'herezja', 'wczesnochrześcijański', 'rozpowszechniony', 'w', 'północnoafrykański', 'prowincja', 'Imperium Rzymskie', 'odmawiać', 'apostata', 'możliwość', 'powrót', 'na', 'łono', 'wspólnota', 'Kościół']","['hist.', 'teol.']",21
48,Donbabwe,"(1, 1)",rzeczownik,żart. pejor. polit. Doniecka Republika Ludowa ,['Doniecka Republika Ludowa'],"['żart.', 'pejor.', 'polit.']",4
49,Donbabwe,"(1, 2)",rzeczownik,pejor. Donieck ,['Donieck'],['pejor.'],2
50,Donbabwe,"(1, 3)",rzeczownik,"pejor. Donieckie Zagłębie Węglowe ,  Donbas ","['Donieckie Zagłębie Węglowe', 'Donbas']",['pejor.'],4
51,Donbas,"(1, 1)",rzeczownik,geogr. Donieckie Zagłębie Węglowe ,['Donieckie Zagłębie Węglowe'],['geogr.'],2
52,donbaski,"(1, 1)",przymiotnik relacyjny,"z Donbasem ,  dotyczący Donbasu  ( Donieckiego Zagłębia Węglowego ) ","['z', 'Donbas', 'dotyczyć', 'Donbas', 'Donieckie Zagłębie Węglowe']",,8
53,donica,"(1, 1)",rzeczownik,"doniczka ,  naczynie do hodowania roślin ozdobnych ","['doniczka', 'naczynie', 'do', 'hodowanie', 'roślina', 'ozdobny']",,7
54,donica,"(1, 2)",rzeczownik,służące do wytapiania szkła optycznego ,"['służyć', 'do', 'wytapianie', 'szkło', 'optyczny']",,5
55,donica,"(1, 3)",rzeczownik,"makutra ,  gliniana misa do ucierania ","['makutra', 'gliniany', 'misa', 'do', 'ucieranie']",,6
56,donica,"(1, 4)",rzeczownik,drewniane do rozczyniania ciasta na pieczywo ,"['drewniany', 'do', 'rozczynianie', 'ciasto', 'na', 'pieczywo']",,6
57,doniczka,"(1, 1)",rzeczownik,"naczynie ,  przeważnie z terakoty ,  zazwyczaj z otworem w denku służące do hodowania roślin ozdobnych ;  zob. też doniczka w Wikipedii ","['naczynie', 'przeważnie', 'z', 'terakota', 'zazwyczaj', 'z', 'otwór', 'w', 'denko', 'służyć', 'do', 'hodować', 'roślina', 'ozdobny']",,18
58,doniczka,"(1, 2)",rzeczownik,(Poznań) mały wazon ,"['mały', 'wazon']",,3
59,doniczkowy,"(1, 1)",przymiotnik relacyjny,",  który rośnie w doniczce ","['który', 'rosnąć', 'w', 'doniczka']",,5
60,doniczkowy,"(1, 2)",przymiotnik relacyjny,"z doniczką ,  dotyczący doniczki ","['z', 'doniczka', 'dotyczyć', 'doniczka']",,5
61,donieść,"(1, 1)",czasownik przechodni dokonany (ndk. donosić),donosić ,[],,1
62,Doniec,"(1, 1)",rzeczownik,"geogr. hydrol. rzeka w Rosji i na Ukrainie ,  prawy dopływ Donu ;  zob. też Doniec w Wikipedii ","['rzeka', 'w', 'Rosja', 'i', 'na', 'Ukraina', 'prawy', 'dopływ', 'Don']","['geogr.', 'hydrol.']",14
63,Donieck,"(1, 1)",rzeczownik,miasto na wschodzie Ukrainy ;  zob. też Donieck w Wikipedii ,"['miasto', 'na', 'wschód', 'Ukraina']",,6
64,Doniecka Republika Ludowa,"(1, 1)",fraza rzeczownikowa,geogr. polit. samozwańcze państwo działające na terenie obwodu donieckiego Ukrainy ;  zob. też Doniecka Republika Ludowa w Wikipedii ,"['samozwańczy', 'państwo', 'działać', 'na', 'teren', 'obwód', 'doniecki', 'Ukraina']","['geogr.', 'polit.']",12
65,doniecki,"(1, 1)",przymiotnik relacyjny,"z Donieckiem ,  dotyczący Doniecka ","['z', 'Donieck', 'dotyczyć', 'Donieck']",,5
66,doniecki,"(1, 2)",przymiotnik relacyjny,"z Dońcem ,  dotyczący Dońca ","['z', 'Doniec', 'dotyczyć', 'Doniec']",,5
67,doniesienie,"(1, 1)",rzeczownik,od donieść ,[],,2
