,token_id,name,image,attributes,body,head,eyes,mouth,skin,shell,background
0,21115668659623778144848103954867683887,Terrapin #04880,ipfs://QmXarfYwaA3o83LTsXHJFKB5tyFJ8NRkfzsirMXfHmWYb3,"[['Mint', 'Background'], ['Geisha', 'Skin'], ['Knight Sword - Brown', 'Shell'], ['Naked', 'Body'], ['Snarl - Cigar', 'Mouth'], ['Cyborg - Closed Eye', 'Eyes'], ['Spiky Hair - Brown', 'Head']]",Naked,Spiky Hair - Brown,Cyborg - Closed Eye,Snarl - Cigar,Geisha,Knight Sword - Brown,Mint
1,339686573371205809325137876315247034028,Terrapin #09271,ipfs://QmW8ACSfTzmMN69L4maLMiEQJAuXitziHc4senZEJfyCgY,"[['Mint', 'Background'], ['Lion', 'Skin'], ['Base Shell', 'Shell'], ['Naked', 'Body'], ['Snarl', 'Mouth'], ['Tweeker Eyes', 'Eyes'], ['Mohawk - Black', 'Head']]",Naked,Mohawk - Black,Tweeker Eyes,Snarl,Lion,Base Shell,Mint
2,26845686848091010612034591826243939022,Terrapin #00735,ipfs://QmeFmExzbbA58h3ZQdtcAZcncMggYuQXe9MbztMcujDX4r,"[['Blue Grey', 'Background'], ['Geisha', 'Skin'], ['Diamond Back', 'Shell'], ['Steam Punk Shirt - Red', 'Body'], ['Grin - 5pm Shadow', 'Mouth'], ['Monocle - Bored Eyes', 'Eyes'], ['None', 'Head']]",Steam Punk Shirt - Red,None,Monocle - Bored Eyes,Grin - 5pm Shadow,Geisha,Diamond Back,Blue Grey
3,29725014212231427076011833295205785773,Terrapin #08213,ipfs://QmbgsWj3ZWE57spQkCUTpbp7L6EzrNyQ8zHSM7zKXesG9N,"[['Lilac', 'Background'], ['Common', 'Skin'], ['Base Shell', 'Shell'], ['Leather Jacket - Black and White', 'Body'], ['Dopey', 'Mouth'], ['Eyepatch - Bored', 'Eyes'], ['Girls Hair - Brown', 'Head']]",Leather Jacket - Black and White,Girls Hair - Brown,Eyepatch - Bored,Dopey,Common,Base Shell,Lilac
4,208630217786676767860015082049195109707,Terrapin #03821,ipfs://QmZhQ1hcXWgoS7Gu3mDgdQhC5UNHnGnbBnCq5GTPwppsmJ,"[['Mint', 'Background'], ['Lion', 'Skin'], ['Base Shell', 'Shell'], ['Leather Jacket - Black and White', 'Body'], ['Grin - 5pm Shadow', 'Mouth'], ['Eyepatch - Angry', 'Eyes'], ['Pylon Helmet', 'Head']]",Leather Jacket - Black and White,Pylon Helmet,Eyepatch - Angry,Grin - 5pm Shadow,Lion,Base Shell,Mint
5,13063797792740649467356505712628160516,Terrapin #08804,ipfs://QmWekweavVb5k6tDm611pC62huBxybTMhPYUp2U1jw5MP9,"[['Blue Grey', 'Background'], ['Common', 'Skin'], ['Knight Sword - Green', 'Shell'], ['Naked', 'Body'], ['Snarl', 'Mouth'], ['Sunnies - Gun Metal', 'Eyes'], ['Cheese Head', 'Head']]",Naked,Cheese Head,Sunnies - Gun Metal,Snarl,Common,Knight Sword - Green,Blue Grey
6,300458614166702002644008561132645799111,Terrapin #02378,ipfs://QmYkFe9ayYMURgNkGpi8JdTRzmZnnswP8BnosWPfDCLEUT,"[['Steel Blue', 'Background'], ['Rainbow', 'Skin'], ['Armoured Shell', 'Shell'], ['Naked', 'Body'], ['Dopey', 'Mouth'], ['Bored Eyes', 'Eyes'], ['Angel Halo', 'Head']]",Naked,Angel Halo,Bored Eyes,Dopey,Rainbow,Armoured Shell,Steel Blue
7,202284182861138456911104748016613140574,Terrapin #09394,ipfs://QmUZYVdM8492SH5CJ7TPztU9GVrp2NQYgj3GCz6Emayydt,"[['Charcoal Full Moon', 'Background'], ['Leopard Lion', 'Skin'], ['Dragon Wings - Green', 'Shell'], ['Naked', 'Body'], ['Grin - 5pm Shadow', 'Mouth'], ['Sunnies - Gold', 'Eyes'], ['Afro', 'Head']]",Naked,Afro,Sunnies - Gold,Grin - 5pm Shadow,Leopard Lion,Dragon Wings - Green,Charcoal Full Moon
8,6899124682255244146689424793885484400,Terrapin #04195,ipfs://QmdvYQXZpDVvWn4vQZVkFPcHPecEvET5jNX4aH7ehBNbAo,"[['Mint', 'Background'], ['Geisha', 'Skin'], ['Base Shell', 'Shell'], ['Hawaiian Shirt - Watermelon', 'Body'], ['Vampire', 'Mouth'], ['Bored Eyes', 'Eyes'], ['Mohawk - Green', 'Head']]",Hawaiian Shirt - Watermelon,Mohawk - Green,Bored Eyes,Vampire,Geisha,Base Shell,Mint
9,219930788551879605847476939700403858530,Terrapin #01716,ipfs://Qmeqw23K6EFTCSm3Q65Y3kR18H76vFYLAHM5DuVxp8ugyJ,"[['Baby Blue', 'Background'], ['Dalmation', 'Skin'], ['Base Shell', 'Shell'], ['Steam Punk Shirt - Red', 'Body'], ['Grin', 'Mouth'], ['Tweeker Eyes', 'Eyes'], ['Crown - Emerald', 'Head']]",Steam Punk Shirt - Red,Crown - Emerald,Tweeker Eyes,Grin,Dalmation,Base Shell,Baby Blue
10,284671574750787458468818819614823922095,Terrapin #06432,ipfs://QmNMvcQwVzmFF9ZjiMksUJb8BwAW6XRE2JyrvT5Ry8Nt9Y,"[['Charcoal Full Moon', 'Background'], ['Tiger', 'Skin'], ['Base Shell', 'Shell'], ['Cloak - Black', 'Body'], ['Snarl - Cigar', 'Mouth'], ['Monocle - Bored Eyes', 'Eyes'], ['Cap - Luna', 'Head']]",Cloak - Black,Cap - Luna,Monocle - Bored Eyes,Snarl - Cigar,Tiger,Base Shell,Charcoal Full Moon
11,216558890329471238046781745626123499152,Terrapin #04835,ipfs://QmSjtJtBErBDsiie8LnWdbaHViXiSnjDJogTLHiaHBQ6bN,"[['Burnt Orange', 'Background'], ['Luna', 'Skin'], ['Base Shell', 'Shell'], ['Naked', 'Body'], ['Dopey', 'Mouth'], ['Steam Punk - Tweeker', 'Eyes'], ['Octopus', 'Head']]",Naked,Octopus,Steam Punk - Tweeker,Dopey,Luna,Base Shell,Burnt Orange
12,257280107501388119132741975442345556379,Terrapin #01202,ipfs://QmXkQx6WQsa8jADCYe6yDKAYmkeqTsf3KhEFW7mZ2c9PqB,"[['Steel Blue', 'Background'], ['Black and Yellow', 'Skin'], ['Shell Spikes', 'Shell'], ['Kings Robe', 'Body'], ['Bubblegum', 'Mouth'], ['Cyborg - Angry', 'Eyes'], ['Fried Egg', 'Head']]",Kings Robe,Fried Egg,Cyborg - Angry,Bubblegum,Black and Yellow,Shell Spikes,Steel Blue
13,2972060621404312848637206693746787554,Terrapin #03538,ipfs://Qmb3pjKP2kSq3c2fnzeqsFWbAsoQVn9VeQZzE3MFctynXW,"[['Baby Yellow', 'Background'], ['Black and Yellow', 'Skin'], ['Knight Sword - Blue', 'Shell'], ['Leather Jacket - Black', 'Body'], ['Dopey', 'Mouth'], ['Bored Eyes', 'Eyes'], ['Girls Hair - Pink', 'Head']]",Leather Jacket - Black,Girls Hair - Pink,Bored Eyes,Dopey,Black and Yellow,Knight Sword - Blue,Baby Yellow
14,139752239649805894083246305780016803911,Terrapin #07577,ipfs://QmRXAkby4Y3nTXp6x4jTrkUYSRaGvoHF65cVQd7bkpGuFv,"[['Mint', 'Background'], ['Common', 'Skin'], ['Shell Cannon', 'Shell'], ['Naked', 'Body'], ['Subtle Smile', 'Mouth'], ['Goggle Steam Punk - Black', 'Eyes'], ['Mohawk - Silver', 'Head']]",Naked,Mohawk - Silver,Goggle Steam Punk - Black,Subtle Smile,Common,Shell Cannon,Mint
15,275846304721644444168008856507350193706,Terrapin #04217,ipfs://QmaPVYYR5111fywFEUWMGu398wRcVd6ng8wEweuK8usmjd,"[['Steel Blue', 'Background'], ['Common', 'Skin'], ['Diamond Back', 'Shell'], ['Naked', 'Body'], ['Grin - 5pm Shadow', 'Mouth'], ['Tweeker Eyes', 'Eyes'], ['Pirate Bandana', 'Head']]",Naked,Pirate Bandana,Tweeker Eyes,Grin - 5pm Shadow,Common,Diamond Back,Steel Blue
16,142164702004778130921464273954873897699,Terrapin #03666,ipfs://QmcJ8tDEbC2w658nSGTqNwoi6CkkT4Se6KtZ47T8Bek9gA,"[['Baby Blue', 'Background'], ['Monochrome', 'Skin'], ['Knight Sword - Green', 'Shell'], ['Cloak - Brown', 'Body'], ['Bubblegum', 'Mouth'], ['Bored Eyes', 'Eyes'], ['Cap - ANC', 'Head']]",Cloak - Brown,Cap - ANC,Bored Eyes,Bubblegum,Monochrome,Knight Sword - Green,Baby Blue
17,105352137857322495400399359964704660171,Terrapin #00257,ipfs://QmY9nT1K5CtkHDewvRDRSBD5wcbT1K3u2sd8H7xbKLPGF8,"[['Steel Blue', 'Background'], ['Monochrome', 'Skin'], ['Base Shell', 'Shell'], ['Naked', 'Body'], ['Licky Licky', 'Mouth'], ['Bored Eyes', 'Eyes'], ['Terrorpin', 'Head']]",Naked,Terrorpin,Bored Eyes,Licky Licky,Monochrome,Base Shell,Steel Blue
18,297780549474824867162323759668250348793,Terrapin #00809,ipfs://QmW81sPtDeK6GQJTqqar8H3FQoZnxV1baiKveoYB2fjZMv,"[['Neon Pink', 'Background'], ['Lion', 'Skin'], ['Knight Sword - Green', 'Shell'], ['Cloak - Brown', 'Body'], ['Dopey', 'Mouth'], ['Tweeker Eyes', 'Eyes'], ['Mohawk - Red', 'Head']]",Cloak - Brown,Mohawk - Red,Tweeker Eyes,Dopey,Lion,Knight Sword - Green,Neon Pink
19,121189595021648191590047456655009270015,Terrapin #09482,ipfs://QmQBFnn5Y2kjAQs8feBz2LFnjWKmC3qVCqrXCZLyv3u1Vo,"[['Mint', 'Background'], ['Luna', 'Skin'], ['Base Shell', 'Shell'], ['Suit and Tie', 'Body'], ['Beard', 'Mouth'], ['Angry Tweeker Eyes', 'Eyes'], ['Crown - Ruby', 'Head']]",Suit and Tie,Crown - Ruby,Angry Tweeker Eyes,Beard,Luna,Base Shell,Mint
20,207053801855330068340244093213651078324,Terrapin #00829,ipfs://QmVsTREvCRvjAVTrASLaJiJuqg6tbMZNWJ9qw49hUZCtm5,"[['Charcoal Full Moon', 'Background'], ['Teddy', 'Skin'], ['Shell Spikes', 'Shell'], ['Naked', 'Body'], ['Scream', 'Mouth'], ['Bored Eyes', 'Eyes'], ['Devil Horns', 'Head']]",Naked,Devil Horns,Bored Eyes,Scream,Teddy,Shell Spikes,Charcoal Full Moon
21,198768620069145010574372893039246404240,Terrapin #00661,ipfs://QmTz5e4Ht92dtSMswcKS5ctzLgggYCFghLSVNzdiV7D5Gk,"[['Burnt Orange', 'Background'], ['Luna', 'Skin'], ['Steam Punk Shell', 'Shell'], ['Leather Jacket - Black and White', 'Body'], ['Dopey', 'Mouth'], ['Monocle - Tweeker Eyes', 'Eyes'], ['Devil Horns', 'Head']]",Leather Jacket - Black and White,Devil Horns,Monocle - Tweeker Eyes,Dopey,Luna,Steam Punk Shell,Burnt Orange
22,157414304762546073067358792783584293019,Terrapin #07384,ipfs://QmX9L4uBYUR6ot8QcBK1X5pHbjjqrZ9LzVMGy7gTvSMoFw,"[['Mint', 'Background'], ['Luna', 'Skin'], ['Knight Sword - Green', 'Shell'], ['Naked', 'Body'], ['Terrorpin', 'Mouth'], ['Steam Punk - Angry', 'Eyes'], ['Spiky Hair - Brown', 'Head']]",Naked,Spiky Hair - Brown,Steam Punk - Angry,Terrorpin,Luna,Knight Sword - Green,Mint
23,144303312597591030048465953966274349680,Terrapin #02075,ipfs://Qmeje4CSzuFATSN6VMFkLbrZHcXnTntLivPHPzQT866Xej,"[['Purple', 'Background'], ['Black and Yellow', 'Skin'], ['Shell Spikes', 'Shell'], ['Hawaiian Shirt - Pineapple', 'Body'], ['Snarl', 'Mouth'], ['Cyborg - Angry Clown', 'Eyes'], ['Fried Egg', 'Head']]",Hawaiian Shirt - Pineapple,Fried Egg,Cyborg - Angry Clown,Snarl,Black and Yellow,Shell Spikes,Purple
24,226594543195327426027706436659912453988,Terrapin #02037,ipfs://QmZASkmx8miBqK6TeVNKFEmynL6kNFWzk6E8Z9gypLKZW5,"[['Early Light', 'Background'], ['Common', 'Skin'], ['Dragon Scale - Green', 'Shell'], ['Naked', 'Body'], ['Dopey', 'Mouth'], ['Bored Eyes', 'Eyes'], ['Cap - ANC', 'Head']]",Naked,Cap - ANC,Bored Eyes,Dopey,Common,Dragon Scale - Green,Early Light
25,54742439591024820672205125843546213444,Terrapin #08682,ipfs://QmcvSfL5JxQLDoNcmsvYQNtLecwRph7hGxJCGigkvFZoR8,"[['Steel Blue', 'Background'], ['Common', 'Skin'], ['Base Shell', 'Shell'], ['Cloak - Brown', 'Body'], ['Dopey', 'Mouth'], ['Tweeker Eyes', 'Eyes'], ['Ape Hat', 'Head']]",Cloak - Brown,Ape Hat,Tweeker Eyes,Dopey,Common,Base Shell,Steel Blue
26,310145771197299022073070300571489653963,Terrapin #04314,ipfs://QmV1CZfofyvhUA9aitDCrmyA41Wg32wao9RvjnB6wkUyyE,"[['Mint', 'Background'], ['Luna', 'Skin'], ['Shell Spikes', 'Shell'], ['Leather Jacket - Black and White', 'Body'], ['Bubblegum', 'Mouth'], ['Sunnies - Pink', 'Eyes'], ['Spiky Hair - Blonde', 'Head']]",Leather Jacket - Black and White,Spiky Hair - Blonde,Sunnies - Pink,Bubblegum,Luna,Shell Spikes,Mint
27,226985267881686443594614642682392963609,Terrapin #08116,ipfs://QmdUKhpvBWLEkKe7TNdbo7rQ7P3h66aYDGd5bqcgSm7APm,"[['Charcoal Full Moon', 'Background'], ['Dalmation', 'Skin'], ['Dragon Scale - Green', 'Shell'], ['Orange Shirt', 'Body'], ['Dopey', 'Mouth'], ['Bored Eyes', 'Eyes'], ['Mohawk - Silver', 'Head']]",Orange Shirt,Mohawk - Silver,Bored Eyes,Dopey,Dalmation,Dragon Scale - Green,Charcoal Full Moon
28,143125309880175020620259723926424498082,Terrapin #08805,ipfs://QmWsMQ8MhYwot4PR1pg7QWVLn1pd3TDxP6Q42HwqoLpAam,"[['Lilac', 'Background'], ['Lion', 'Skin'], ['Base Shell', 'Shell'], ['Naked', 'Body'], ['Snarl - Nose Ring', 'Mouth'], ['Steam Punk - Bored', 'Eyes'], ['None', 'Head']]",Naked,None,Steam Punk - Bored,Snarl - Nose Ring,Lion,Base Shell,Lilac
29,205243114526793481085240592636593551494,Terrapin #06044,ipfs://QmeCHEmDD7q7C7uuLE5EJeaVsGpzkeB1SE3p5Fy2MzTSdn,"[['Mint', 'Background'], ['Luna', 'Skin'], ['Shell Cannon', 'Shell'], ['Cloak - Brown', 'Body'], ['Dopey - Vampire', 'Mouth'], ['Tweeker Eyes', 'Eyes'], ['Bonnett', 'Head']]",Cloak - Brown,Bonnett,Tweeker Eyes,Dopey - Vampire,Luna,Shell Cannon,Mint
30,176486144639727316082798589480534482450,Terrapin #05635,ipfs://QmRtFYhXPvxN1CmFqRb6n8z8Gr2KowLxHB9Mkc138N7HGf,"[['Baby Blue', 'Background'], ['Geisha', 'Skin'], ['Base Shell', 'Shell'], ['Naked', 'Body'], ['Grin', 'Mouth'], ['Steam Punk - Tweeker', 'Eyes'], ['Assassins Cowl - White', 'Head']]",Naked,Assassins Cowl - White,Steam Punk - Tweeker,Grin,Geisha,Base Shell,Baby Blue
